20000,30000
18214.4310520136,29839.2958859863
16486.2517591866,29362.3487063974
14871.0072259409,28584.4879360187
13420.6127406029,27530.7146600361
12181.6851753197,26234.8980185873
11194.0446814326,24738.68662473
10489.4348370485,23090.1699437495
10090.5023823207,21342.3326581766
10010.0693345869,19551.3516964949
10250.7208781818,17774.7906604369
10804.7222744855,16069.7496834608
11654.267462787,14491.030185479
12772.0513617261,13089.3735101314
14122.1474770753,11909.8300562505
15661.1626088244,10990.3113209758
17339.6315443332,10360.3713930415
19103.6069109657,10040.2570600476
20896.3930890343,10040.2570600476
22660.3684556668,10360.3713930415
24338.8373911756,10990.3113209758
25877.8525229247,11909.8300562505
27227.9486382739,13089.3735101314
28345.732537213,14491.030185479
29195.2777255145,16069.7496834608
29749.2791218182,17774.7906604369
29989.9306654131,19551.3516964948
29909.4976176794,21342.3326581766
29510.5651629515,23090.1699437495
28805.9553185674,24738.68662473
27818.3148246803,26234.8980185873
26579.3872593971,27530.7146600361
25128.9927740591,28584.4879360187
23513.7482408134,29362.3487063974
21785.5689479864,29839.2958859863
20000,20000
