2,1,3,319.518630439
2,1,4,348.661733865
2,1,5,352.907489642
2,1,6,14.2152229031
2,1,7,17.3821579747
2,1,8,29.3881537668
2,1,9,45.9780242545
2,1,10,51.4612416497
2,1,11,66.0685790662
2,1,12,77.0793461668
3,1,6,54.6967262861
3,1,7,57.8639787716
3,2,5,66.1901264167
3,2,6,99.2063182518
3,2,7,101.106913201
3,2,8,114.604103341
7,2,8,13.4973514014
4,3,8,9.30696831234
5,3,6,26.4632329375
5,3,7,20.5538927681
6,4,11,42.937751197
6,4,12,55.6749025753
7,4,1,122.563847214
7,4,2,111.780295704
9,4,7,331.771880687
6,5,12,26.338623643
7,5,1,104.393012434
7,5,2,100.565656134
7,5,3,135.781221302
7,5,4,114.561474798
7,5,6,30.1942925339
7,5,8,0.54053500696
7,6,11,90.6782035423
7,6,12,105.915233744
8,6,1,141.547585657
8,6,2,149.429196333
8,6,3,178.091521449
8,6,4,184.655329203
12,6,7,254.08481378
12,6,8,278.5282011
12,6,9,309.160789665
12,6,10,344.195027704
12,6,11,344.763063539
8,7,6,138.44850683
8,7,9,32.5065689196
8,7,10,72.5908568341
8,7,11,65.6445948013
5,8,6,343.61237806
5,8,7,0.720381594392
5,8,9,242.757731057
12,11,7,113.926648987
12,11,8,137.499330168
12,11,9,158.341822917
12,11,10,98.5461551535
