1,2,158.313964538
1,3,198.795404919
1,4,169.651343255
1,5,165.405438832
1,6,144.097458806
1,7,140.930659362
1,8,128.925068093
1,9,112.335105486
1,10,106.851858301
1,11,92.2440893617
1,12,81.2335929673
2,3,235.423502582
2,4,180.434394914
2,5,169.232932099
2,6,136.21587788
2,7,134.315298151
2,8,120.818546808
2,9,100.826522446
2,10,87.8384585298
2,11,74.887759728
2,12,60.7522321762
3,4,116.005694086
3,5,134.017053486
3,6,107.553967177
3,7,113.46267155
3,8,106.699343778
3,9,90.7677771652
3,10,77.8724657054
3,11,69.8216267195
3,12,59.2559041991
4,5,155.23693257
4,6,100.990255016
4,7,112.214873364
4,8,103.730305645
4,9,83.9868548962
4,10,64.633540977
4,11,58.0530439783
4,12,45.3155864989
5,6,59.6044839306
5,7,89.7981628282
5,8,89.2577584086
5,9,70.3576780798
5,10,47.1098503094
5,11,44.9617921725
5,12,33.2654030219
6,7,130.088563244
6,8,105.645637408
6,9,75.0130585419
6,10,39.9786318285
6,11,39.4101244836
6,12,24.1736459325
7,8,88.5379764909
7,9,56.0306060978
7,10,15.9463107603
7,11,22.892323259
7,12,10.2690887802
8,9,26.5003872176
8,10,342.535113157
8,11,359.320175122
8,12,349.932367638
9,10,303.932716163
9,11,338.477032707
9,12,331.433661896
10,11,38.2726417542
10,12,1.40881714872
11,12,316.819808509
