1,2,52.4504433426
1,3,85.698723161
1,4,105.5678764
1,5,148.852390837
1,6,143.891955569
1,7,185.180431403
1,8,226.409155651
1,9,221.692863605
1,10,151.739729965
1,11,174.667298719
1,12,148.597280795
2,3,57.0750287628
2,4,55.1144930176
2,5,97.0198961724
2,6,93.9338872744
2,7,136.030463776
2,8,182.533174138
2,9,189.043691591
2,10,125.931050587
2,11,160.709590935
2,12,146.106845821
3,4,51.8221161656
3,5,90.5514920476
3,6,117.460406184
3,7,157.330585329
3,8,212.722109376
3,9,232.692511106
3,10,176.778696041
3,11,215.362247315
3,12,203.002906024
4,5,44.2703701845
4,6,66.636542489
4,7,105.584604315
4,8,161.798557471
4,9,187.127213329
4,10,139.730662515
4,11,183.337789581
4,12,179.888477706
5,6,54.3412716895
5,7,79.2060555402
5,8,138.644608774
5,9,177.906100336
5,10,147.019879868
5,11,193.913288457
5,12,199.365391228
6,7,42.2617086313
6,8,95.2916038763
6,9,124.932293492
6,10,94.6975599299
6,11,142.00396241
6,12,152.582691034
7,8,59.4477098544
7,9,106.528857321
7,10,103.776348682
7,11,148.639158862
7,12,169.127483904
8,9,64.8152535467
8,10,103.014679857
8,11,135.424351757
8,12,167.480784354
9,10,72.1206814506
9,11,83.2101358365
9,12,121.710600192
10,11,47.3194738558
10,12,66.6560340035
11,12,40.4374643815
