2,1,3,40.4814315881
3,1,4,330.85595377
4,1,5,355.754105369
5,1,6,338.691859333
6,1,7,356.833147791
7,1,8,347.99424321
8,1,9,343.410171098
9,1,10,354.516766675
10,1,11,345.392623428
11,1,12,348.989325062
1,2,3,257.109408958
3,2,4,305.01103177
4,2,5,348.798312014
5,2,6,326.983122309
6,2,7,358.099542437
7,2,8,346.503082602
8,2,9,340.008032158
9,2,10,347.011917002
10,2,11,347.049486757
11,2,12,345.864420553
1,3,2,36.6283150485
2,3,4,60.5825743358
4,3,5,18.0110832748
5,3,6,333.536890079
6,3,7,5.90873140638
7,3,8,353.236131913
8,3,9,344.068862036
9,3,10,347.104381879
10,3,11,351.949352801
11,3,12,349.434393469
1,4,2,10.7832259174
2,4,3,295.571246313
3,4,5,219.230973473
5,4,6,305.753235262
6,4,7,11.2243861435
7,4,8,351.515346625
8,4,9,340.256528851
9,4,10,340.646640422
10,4,11,353.41923061
11,4,12,347.262545409
1,5,2,3.82700333804
2,5,3,324.784251067
3,5,4,21.2202000634
4,5,6,84.3672940558
6,5,7,30.1939298805
7,5,8,359.459363397
8,5,9,341.099996395
9,5,10,336.752270682
10,5,11,357.851405205
11,5,12,348.303923483
1,6,2,352.118299421
2,6,3,331.33815635
3,6,4,353.436333946
4,6,5,318.613798599
5,6,7,250.48424458
7,6,8,335.557248817
8,6,9,329.367182873
9,6,10,324.965652208
10,6,11,359.431859296
11,6,12,344.763565188
1,7,2,353.384713595
2,7,3,339.147167238
3,7,4,358.752041664
4,7,5,337.583380687
5,7,6,40.2904676456
6,7,8,138.449292296
8,7,9,327.492911728
9,7,10,319.915416024
10,7,11,6.94599313996
11,7,12,347.376135639
1,8,2,351.893668715
2,8,3,345.880748105
3,8,4,357.031006185
4,8,5,345.527428208
5,8,6,16.3880994777
6,8,7,342.89213976
7,8,9,117.962388862
9,8,10,316.03471219
10,8,11,16.7851079794
11,8,12,350.611790827
1,9,2,348.491307356
2,9,3,349.941354694
3,9,4,353.218591683
4,9,5,346.370994216
5,9,6,4.65516849975
6,9,7,341.017452163
7,9,8,330.469606917
8,9,10,97.4326911669
10,9,11,34.5441556079
11,9,12,352.957082083
1,10,2,340.986341907
2,10,3,350.034123621
3,10,4,346.761092434
4,10,5,342.476339168
5,10,6,352.868828588
6,10,7,335.967688863
7,10,8,326.588397266
8,10,9,321.397685852
9,10,11,274.340020649
11,10,12,323.135869805
1,11,2,342.643547682
2,11,3,354.934011479
3,11,4,348.231511534
4,11,5,346.908492567
5,11,6,354.448610236
6,11,7,343.482175588
7,11,8,336.42769168
8,11,9,339.156468166
9,11,10,59.7958302813
10,11,12,98.5466747844
1,12,2,339.518516067
2,12,3,358.503946351
3,12,4,346.059441507
4,12,5,347.949963591
5,12,6,350.90840158
6,12,7,346.095121476
7,12,8,339.663337757
8,12,9,341.501626237
9,12,10,29.9751741318
10,12,11,315.410608587
