1,2,53.0808729492
1,3,86.5103701083
1,4,104.822261944
1,5,149.679623868
1,6,144.156635103
1,7,184.375510081
1,8,225.967022974
1,9,221.786656982
1,10,152.654105042
1,11,175.59675646
1,12,147.913118655
2,3,58.0152965859
2,4,56.0279190457
2,5,96.9898336782
2,6,94.5346860734
2,7,135.313952873
2,8,182.376056074
2,9,189.875328718
2,10,126.515029606
2,11,161.627911182
2,12,146.417988427
3,4,50.893425528
3,5,91.2488310285
3,6,118.327603284
3,7,157.688803785
3,8,213.237683207
3,9,233.179169308
3,10,176.563896158
3,11,215.67356223
3,12,202.345540605
4,5,44.6817482623
4,6,65.7008463129
4,7,105.139251704
4,8,160.891864984
4,9,186.320881172
4,10,140.378065101
4,11,183.727727166
4,12,179.522059607
5,6,55.2415832926
5,7,78.2743835489
5,8,138.522121883
5,9,177.669334119
5,10,147.551237552
5,11,194.504578696
5,12,198.738751752
6,7,42.2422019796
6,8,95.1829334409
6,9,125.22415676
6,10,95.1172866307
6,11,142.513334369
6,12,152.134231594
7,8,59.8067641933
7,9,106.839691125
7,10,103.100580107
7,11,147.876371303
7,12,169.123820032
8,9,65.7355374495
8,10,102.694707957
8,11,135.59407055
8,12,166.92759607
9,10,72.6230812948
9,11,82.720509591
9,12,121.723313019
10,11,47.7175395466
10,12,67.437960137
11,12,41.3557861414
