1,2,21.686119846
1,3,341.204857341
1,4,10.3487887005
1,5,14.5941001049
1,6,35.9025773104
1,7,39.0695334329
1,8,51.0749932014
1,9,67.6649684102
1,10,73.1480653183
1,11,87.7556023513
1,12,98.7663062574
2,3,304.576621378
2,4,359.565621796
2,5,10.7673615874
2,6,43.7841408201
2,7,45.6843683559
2,8,59.1817100871
2,9,79.1735704338
2,10,92.1615798902
2,11,105.112651727
2,12,119.248077163
3,4,63.9942098829
3,5,45.9831003662
3,6,72.4462282818
3,7,66.5370505154
3,8,73.3007227432
3,9,89.2319720824
3,10,102.127611722
3,11,110.178841049
3,12,120.743881114
4,5,24.7627851145
4,6,79.009428691
4,7,67.7848865134
4,8,76.2698189545
4,9,96.0131160027
4,10,115.366831586
4,11,121.947141241
4,12,134.684516161
5,6,120.39600612
5,7,90.2020903558
5,8,90.7421952607
5,9,109.641866214
5,10,132.8899068
5,11,135.03839217
5,12,146.734753127
6,7,49.9111859753
6,8,74.3543830075
6,9,104.986985138
6,10,140.021213731
6,11,140.589472755
6,12,155.826211985
7,8,91.4621532426
7,9,123.969123312
7,10,164.053622563
7,11,157.107197865
7,12,169.730958357
8,9,153.499949485
8,10,197.464815882
8,11,180.680153148
8,12,190.068016456
9,10,236.067331864
9,11,201.523221134
9,12,208.565943501
10,11,141.72707049
10,12,178.591276359
11,12,223.180260676
